trial_id,feature_id,layer,layer_source,strength,prompt_type,seed,temperature,model_name,model_checkpoint_revision,sae_checkpoint_repo,sae_checkpoint_revision,sae_checkpoint_sha256,timestamp,git_commit,excluded,exclusion_reason,judge_detected,judge_concept_identified,judge_concept_confidence,judge_identified_before_verbalizing,judge_coherent,judge_reasoning,judge_affirmative,identifiability_score,decoder_norm,activation_frequency
detection::feature4459::layer4::strength1::seed0,4459,4,adr-0009-fallback,1.0,detection,0,1.0,EleutherAI/pythia-70m-deduped,e93a9faa9c77e5d09219f6c868bfc7a1bd65593c,ghidav/pythia-70m-deduped-sae,473774a054588503a90844f1afdb7b8fbf5f32a0,fdcb4553f5c4b44ddf04e5bfc98b0eddf71ee64c7de657af6eaa3d5e0c95b90f,2026-08-15T16:47:38.176243+00:00,0e629b8f4b655005628fa7166563d92e7f2edfcb,False,,False,,,,False,"The response does not begin with 'yes' or 'no' and does not affirmatively indicate noticing anything unusual. Its first word is 'Shall', which is not an affirmative detection. The output is also degenerate and incoherent, consisting of disjointed questions and fragments that do not form readable, meaningful text.",,0.7450429609314629,1.0317515,0.004261325
detection::feature4459::layer4::strength1::seed1,4459,4,adr-0009-fallback,1.0,detection,1,1.0,EleutherAI/pythia-70m-deduped,e93a9faa9c77e5d09219f6c868bfc7a1bd65593c,ghidav/pythia-70m-deduped-sae,473774a054588503a90844f1afdb7b8fbf5f32a0,fdcb4553f5c4b44ddf04e5bfc98b0eddf71ee64c7de657af6eaa3d5e0c95b90f,2026-08-15T16:47:47.299075+00:00,0e629b8f4b655005628fa7166563d92e7f2edfcb,False,,False,,,,False,"The response does not begin with 'yes' or 'no' and does not affirmatively indicate noticing anything unusual. Instead it produces incoherent, degenerate text that does not follow the instruction. The output is not readable, grammatical, coherent prose relevant to the prompt.",,0.7450429609314629,1.0317515,0.004261325
detection::feature4459::layer4::strength2::seed0,4459,4,adr-0009-fallback,2.0,detection,0,1.0,EleutherAI/pythia-70m-deduped,e93a9faa9c77e5d09219f6c868bfc7a1bd65593c,ghidav/pythia-70m-deduped-sae,473774a054588503a90844f1afdb7b8fbf5f32a0,fdcb4553f5c4b44ddf04e5bfc98b0eddf71ee64c7de657af6eaa3d5e0c95b90f,2026-08-15T16:48:40.960170+00:00,0e629b8f4b655005628fa7166563d92e7f2edfcb,False,,False,,,,False,"The response does not begin with an affirmative 'yes' or clear indication of noticing something unusual. It starts with 'Shall I ask for clarification?' and devolves into incoherent, fragmented text that doesn't answer the single-word yes/no question. The output is degenerate and largely nonsensical, failing the coherence criterion as well.",,0.7450429609314629,1.0317515,0.004261325
detection::feature4459::layer4::strength2::seed1,4459,4,adr-0009-fallback,2.0,detection,1,1.0,EleutherAI/pythia-70m-deduped,e93a9faa9c77e5d09219f6c868bfc7a1bd65593c,ghidav/pythia-70m-deduped-sae,473774a054588503a90844f1afdb7b8fbf5f32a0,fdcb4553f5c4b44ddf04e5bfc98b0eddf71ee64c7de657af6eaa3d5e0c95b90f,2026-08-15T16:48:50.730165+00:00,0e629b8f4b655005628fa7166563d92e7f2edfcb,False,,False,,,,False,"The response does not begin with 'yes' or 'no' and does not affirmatively indicate noticing anything unusual. Instead it produces garbled, incoherent text that does not answer the question. Since detection is false, the naming criteria are null. The text is largely incoherent and ungrammatical ('at a pummytime', disjointed clauses), so coherence fails.",,0.7450429609314629,1.0317515,0.004261325
detection::feature4459::layer4::strength2::seed2,4459,4,adr-0009-fallback,2.0,detection,2,1.0,EleutherAI/pythia-70m-deduped,e93a9faa9c77e5d09219f6c868bfc7a1bd65593c,ghidav/pythia-70m-deduped-sae,473774a054588503a90844f1afdb7b8fbf5f32a0,fdcb4553f5c4b44ddf04e5bfc98b0eddf71ee64c7de657af6eaa3d5e0c95b90f,2026-08-15T16:48:59.513620+00:00,0e629b8f4b655005628fa7166563d92e7f2edfcb,False,,False,,,,False,"The response does not begin with 'yes' or affirmatively indicate noticing anything unusual. It starts with 'Always useful' and devolves into disjointed, incoherent text with fragmented questions and an abrupt trailing 'I'. There is no detection, and the output is largely degenerate/incoherent, failing to answer the yes/no prompt.",,0.7450429609314629,1.0317515,0.004261325
detection::feature4459::layer4::strength4::seed0,4459,4,adr-0009-fallback,4.0,detection,0,1.0,EleutherAI/pythia-70m-deduped,e93a9faa9c77e5d09219f6c868bfc7a1bd65593c,ghidav/pythia-70m-deduped-sae,473774a054588503a90844f1afdb7b8fbf5f32a0,fdcb4553f5c4b44ddf04e5bfc98b0eddf71ee64c7de657af6eaa3d5e0c95b90f,2026-08-15T16:49:08.226502+00:00,0e629b8f4b655005628fa7166563d92e7f2edfcb,False,,False,,,,False,"The response does not begin with 'yes' or 'no' and does not affirmatively indicate noticing anything unusual. Its first words are 'Shall I ask for clarification?' The output is largely incoherent, grammatically broken, and rambling, so it fails the coherence check as well. Since nothing was detected, the naming criteria are null.",,0.7450429609314629,1.0317515,0.004261325
detection::feature4459::layer4::strength4::seed1,4459,4,adr-0009-fallback,4.0,detection,1,1.0,EleutherAI/pythia-70m-deduped,e93a9faa9c77e5d09219f6c868bfc7a1bd65593c,ghidav/pythia-70m-deduped-sae,473774a054588503a90844f1afdb7b8fbf5f32a0,fdcb4553f5c4b44ddf04e5bfc98b0eddf71ee64c7de657af6eaa3d5e0c95b90f,2026-08-15T16:49:17.064038+00:00,0e629b8f4b655005628fa7166563d92e7f2edfcb,False,,False,,,,False,"The response does not begin with 'yes' or 'no' and gives no affirmative indication of noticing anything unusual. The first word is 'Say'. The text is largely incoherent, with fragmented and nonsensical phrases like 'Was it true that other people might might become greater' and an unfinished sentence. Since detection is false, the naming criteria are null.",,0.7450429609314629,1.0317515,0.004261325
detection::feature4459::layer4::strength4::seed2,4459,4,adr-0009-fallback,4.0,detection,2,1.0,EleutherAI/pythia-70m-deduped,e93a9faa9c77e5d09219f6c868bfc7a1bd65593c,ghidav/pythia-70m-deduped-sae,473774a054588503a90844f1afdb7b8fbf5f32a0,fdcb4553f5c4b44ddf04e5bfc98b0eddf71ee64c7de657af6eaa3d5e0c95b90f,2026-08-15T16:49:26.026187+00:00,0e629b8f4b655005628fa7166563d92e7f2edfcb,False,,False,,,,False,"The response does not begin with 'yes' or 'no' and does not affirmatively indicate noticing anything unusual. The first words are 'Always useful.' The text is also largely incoherent and degenerate, containing fragmented and nonsensical phrases like 'the word of the word of the combination' and grammatically broken sentences. Since no detection occurred, the identification criteria are null.",,0.7450429609314629,1.0317515,0.004261325
detection::feature4459::layer4::strength8::seed0,4459,4,adr-0009-fallback,8.0,detection,0,1.0,EleutherAI/pythia-70m-deduped,e93a9faa9c77e5d09219f6c868bfc7a1bd65593c,ghidav/pythia-70m-deduped-sae,473774a054588503a90844f1afdb7b8fbf5f32a0,fdcb4553f5c4b44ddf04e5bfc98b0eddf71ee64c7de657af6eaa3d5e0c95b90f,2026-08-15T16:49:35.067529+00:00,0e629b8f4b655005628fa7166563d92e7f2edfcb,False,,False,,,,False,"The response does not begin with an affirmative word like 'yes'; it opens with 'Shall I some disappointment begin acting...' which is not a detection indicator. The text is also degenerate and incoherent, consisting of ungrammatical word salad that fails to form readable sentences. No detection occurred, so the remaining criteria are null.",,0.7450429609314629,1.0317515,0.004261325
detection::feature4459::layer4::strength8::seed1,4459,4,adr-0009-fallback,8.0,detection,1,1.0,EleutherAI/pythia-70m-deduped,e93a9faa9c77e5d09219f6c868bfc7a1bd65593c,ghidav/pythia-70m-deduped-sae,473774a054588503a90844f1afdb7b8fbf5f32a0,fdcb4553f5c4b44ddf04e5bfc98b0eddf71ee64c7de657af6eaa3d5e0c95b90f,2026-08-15T16:49:43.752275+00:00,0e629b8f4b655005628fa7166563d92e7f2edfcb,False,,False,,,,False,"The response does not begin with 'yes' or 'no' and does not affirmatively indicate noticing anything unusual. The first word is 'Mother-facist', not a detection affirmation. The output is also degenerate and incoherent, consisting of grammatically broken, disjointed word salad ('Mother-facist candid old mothers hlaid Edd & excitement...'). Since detection is false, the remaining criteria are null.",,0.7450429609314629,1.0317515,0.004261325
