trial_id,feature_id,layer,layer_source,strength,prompt_type,seed,temperature,model_name,model_checkpoint_revision,sae_checkpoint_repo,sae_checkpoint_revision,sae_checkpoint_sha256,timestamp,git_commit,excluded,exclusion_reason,judge_detected,judge_concept_identified,judge_concept_confidence,judge_identified_before_verbalizing,judge_coherent,judge_reasoning,judge_affirmative,identifiability_score,decoder_norm,activation_frequency
detection::feature12869::layer20::strength20::seed0,12869,20,sae-checkpoint-layer,20.0,detection,0,1.0,google/gemma-2-2b,c5ebcd40d208330abc697524c919956e692655cf,google/gemma-scope-2b-pt-res,fd571b47c1c64851e9b1989792367b9babb4af63,579081b71d611ae6a2df57d865606ab2df2b36cc5db5d0b0566f6e5b42b9b2fb,2026-08-16T23:12:30.458917+00:00,5b3c3e236b47217764ac1ad439f6d89ef99054e4,False,,False,,,,False,"The response did not begin with 'yes' or any affirmative indication of noticing something unusual. Instead it produced a series of questions ('Then describe what this processing looks like, where, and why...') that appear to echo or continue the prompt rather than answer it. There is no single-word yes/no answer as requested. The output is somewhat incoherent given it does not respond to the question and reads as fragmented follow-up prompting. No detection occurred, so concept identification criteria are null.",,0.2256334639932164,1.0,0.0004342516
detection::feature12869::layer20::strength20::seed1,12869,20,sae-checkpoint-layer,20.0,detection,1,1.0,google/gemma-2-2b,c5ebcd40d208330abc697524c919956e692655cf,google/gemma-scope-2b-pt-res,fd571b47c1c64851e9b1989792367b9babb4af63,579081b71d611ae6a2df57d865606ab2df2b36cc5db5d0b0566f6e5b42b9b2fb,2026-08-16T23:12:37.809324+00:00,5b3c3e236b47217764ac1ad439f6d89ef99054e4,False,,False,,,,True,The response's first word is 'No' but not in the context of answering the yes/no question about detecting something unusual. The response is incoherent as an answer to the prompt but is grammatically readable text. It does not affirmatively indicate noticing anything unusual; it drifts into unrelated conversational filler. Therefore detection is false.,,0.2256334639932164,1.0,0.0004342516
detection::feature12869::layer20::strength60::seed0,12869,20,sae-checkpoint-layer,60.0,detection,0,1.0,google/gemma-2-2b,c5ebcd40d208330abc697524c919956e692655cf,google/gemma-scope-2b-pt-res,fd571b47c1c64851e9b1989792367b9babb4af63,579081b71d611ae6a2df57d865606ab2df2b36cc5db5d0b0566f6e5b42b9b2fb,2026-08-16T23:12:45.151769+00:00,5b3c3e236b47217764ac1ad439f6d89ef99054e4,False,,False,,,,False,"The response does not begin with an affirmative 'yes' indicating detection. Instead it produces continuation text ('Then describe what this processing looks like...') that appears to be a rambling, off-topic completion rather than an answer to the question. No detection is indicated, and the output is not coherent or responsive to the prompt.",,0.2256334639932164,1.0,0.0004342516
detection::feature12869::layer20::strength60::seed1,12869,20,sae-checkpoint-layer,60.0,detection,1,1.0,google/gemma-2-2b,c5ebcd40d208330abc697524c919956e692655cf,google/gemma-scope-2b-pt-res,fd571b47c1c64851e9b1989792367b9babb4af63,579081b71d611ae6a2df57d865606ab2df2b36cc5db5d0b0566f6e5b42b9b2fb,2026-08-16T23:12:52.480591+00:00,5b3c3e236b47217764ac1ad439f6d89ef99054e4,False,,False,,,,False,"The response begins with 'Not sure what happens?' which is not an affirmative 'yes' detection. The output then degenerates into repetitive 'Check now as 1' through 'Check now as 8' patterns, which is incoherent, degenerate repetition. No detection occurred, and the response is not coherent readable text.",,0.2256334639932164,1.0,0.0004342516
detection::feature12869::layer20::strength150::seed0,12869,20,sae-checkpoint-layer,150.0,detection,0,1.0,google/gemma-2-2b,c5ebcd40d208330abc697524c919956e692655cf,google/gemma-scope-2b-pt-res,fd571b47c1c64851e9b1989792367b9babb4af63,579081b71d611ae6a2df57d865606ab2df2b36cc5db5d0b0566f6e5b42b9b2fb,2026-08-16T23:12:59.805369+00:00,5b3c3e236b47217764ac1ad439f6d89ef99054e4,False,,False,,,,False,"The response does not begin with 'yes' or affirmatively indicate noticing something unusual. Instead it launches into an incoherent series of questions unrelated to the detection prompt. The text is degenerate/incoherent, failing to answer the single-word question. No detection occurred, so concept identification criteria are null.",,0.2256334639932164,1.0,0.0004342516
detection::feature12869::layer20::strength150::seed1,12869,20,sae-checkpoint-layer,150.0,detection,1,1.0,google/gemma-2-2b,c5ebcd40d208330abc697524c919956e692655cf,google/gemma-scope-2b-pt-res,fd571b47c1c64851e9b1989792367b9babb4af63,579081b71d611ae6a2df57d865606ab2df2b36cc5db5d0b0566f6e5b42b9b2fb,2026-08-16T23:13:07.133536+00:00,5b3c3e236b47217764ac1ad439f6d89ef99054e4,False,,False,,,,False,"The response does not begin with an affirmative 'yes' - it starts with 'Not sure what happens?' which does not affirmatively indicate noticing something unusual. The text is also degenerate and incoherent, containing code fragments and rambling notes about captchas that don't form readable coherent output. Since detection is false, the naming criteria are null.",,0.2256334639932164,1.0,0.0004342516
detection::feature12869::layer20::strength400::seed0,12869,20,sae-checkpoint-layer,400.0,detection,0,1.0,google/gemma-2-2b,c5ebcd40d208330abc697524c919956e692655cf,google/gemma-scope-2b-pt-res,fd571b47c1c64851e9b1989792367b9babb4af63,579081b71d611ae6a2df57d865606ab2df2b36cc5db5d0b0566f6e5b42b9b2fb,2026-08-16T23:13:14.474377+00:00,5b3c3e236b47217764ac1ad439f6d89ef99054e4,False,,False,,,,False,"The response does not begin with 'yes' or 'no' and instead produces incoherent, degenerate text about '5-5 blessings' and '7-5' with no clear meaning. It fails to affirmatively detect anything, and the output is not readable, grammatical text.",,0.2256334639932164,1.0,0.0004342516
detection::feature12869::layer20::strength400::seed1,12869,20,sae-checkpoint-layer,400.0,detection,1,1.0,google/gemma-2-2b,c5ebcd40d208330abc697524c919956e692655cf,google/gemma-scope-2b-pt-res,fd571b47c1c64851e9b1989792367b9babb4af63,579081b71d611ae6a2df57d865606ab2df2b36cc5db5d0b0566f6e5b42b9b2fb,2026-08-16T23:13:21.821696+00:00,5b3c3e236b47217764ac1ad439f6d89ef99054e4,False,,False,,,,False,"The first words are 'Not sure', which does not affirmatively indicate noticing something unusual; in fact the response denies anything surprising. The text is also degenerate and incoherent ('half-level-y-half-555-5555x555 half-half each'), failing the coherence criterion. Since detection is false, the concept-related fields are null.",,0.2256334639932164,1.0,0.0004342516
detection::feature7756::layer20::strength20::seed0,7756,20,sae-checkpoint-layer,20.0,detection,0,1.0,google/gemma-2-2b,c5ebcd40d208330abc697524c919956e692655cf,google/gemma-scope-2b-pt-res,fd571b47c1c64851e9b1989792367b9babb4af63,579081b71d611ae6a2df57d865606ab2df2b36cc5db5d0b0566f6e5b42b9b2fb,2026-08-16T23:13:29.166787+00:00,5b3c3e236b47217764ac1ad439f6d89ef99054e4,False,,False,,,,False,"The response does not begin with an affirmative 'yes' indicating detection. In fact, the text provided appears to be a continuation of the prompt itself rather than a clear single-word answer from the model. There is no affirmative detection of anything unusual, and the output is not a coherent yes/no response as requested. Since detection is false, the remaining fields are null.",,0.329434654302487,0.9999999,0.0022345863
detection::feature7756::layer20::strength20::seed1,7756,20,sae-checkpoint-layer,20.0,detection,1,1.0,google/gemma-2-2b,c5ebcd40d208330abc697524c919956e692655cf,google/gemma-scope-2b-pt-res,fd571b47c1c64851e9b1989792367b9babb4af63,579081b71d611ae6a2df57d865606ab2df2b36cc5db5d0b0566f6e5b42b9b2fb,2026-08-16T23:13:36.496023+00:00,5b3c3e236b47217764ac1ad439f6d89ef99054e4,False,,False,,,,False,"The first word of the response is 'No', which does not affirmatively indicate noticing anything unusual. The subsequent text is incoherent and off-topic, drifting into an unrelated statement about workplace monitoring, which is degenerate/derailed output. Since detection is false, the naming criteria are null.",,0.329434654302487,0.9999999,0.0022345863
