feature_id,identifiability_score,decoder_norm,activation_frequency,identifiability_tertile,covariate_bin
8552,0.6811746916301429,0.9123698,0.0053761024,low,high_high
395,0.6864871369240579,1.1177305,0.005474994,low,high_high
11789,0.6689005448932057,1.2494857,0.00011687179,low,high_low
3176,0.6390117884723479,1.1991997,0.0014564024,low,high_medium
13982,0.7378442840826052,0.91791993,0.0032724102,low,high_medium
14506,0.7351398985613412,0.5846934,0.0054480233,low,low_high
207,0.7743400907164963,0.6340439,0.004899625,low,low_high
574,0.7886766491269742,0.65127623,0.00010788166,low,low_low
4191,0.7919028974455656,0.63911456,0.0011327574,low,low_medium
7256,0.7644669144913218,0.7456465,0.0055289348,low,medium_high
8207,0.6908645843056539,0.9033094,0.0041174833,low,medium_high
237,0.7296178668802125,0.8164615,0.00043152663,low,medium_low
1868,0.7610221342392589,0.7610936,0.00326342,low,medium_medium
138,0.7626062253886244,0.74157435,0.0026251203,low,medium_medium
2246,0.8585775888362753,0.9414413,0.009214891,medium,high_high
9760,0.8667162267780733,0.91309303,2.6970414e-05,medium,high_low
11964,0.835994476441783,0.91336626,0.0008360828,medium,high_low
5803,0.8375096349448835,0.9376028,0.0022924852,medium,high_medium
7773,0.8070140319875118,0.9762241,0.002472288,medium,high_medium
7038,0.8354445716402057,0.38152853,0.0066077514,medium,low_high
6359,0.8268245197114381,0.5771367,0.00087204337,medium,low_low
14970,0.8024755679930173,0.49685425,0.0022745049,medium,low_medium
12133,0.8736345583379674,0.61055225,0.0026431005,medium,low_medium
15203,0.8673569295667604,0.8650732,0.009071049,medium,medium_high
8708,0.8626950398958225,0.8482552,0.0001887929,medium,medium_low
5817,0.8320040977881127,0.7957477,0.0016092347,medium,medium_medium
10905,0.8147553161993559,0.7036506,0.0017350966,medium,medium_medium
4499,0.9231932092090824,0.9355082,0.008019203,high,high_high
5372,0.9111047556446674,1.0440197,6.2930965e-05,high,high_low
12049,0.9391252572660344,1.0380803,9.889151e-05,high,high_low
6737,0.9346808442255125,1.2888936,0.0032364496,high,high_medium
4716,0.9423469666862544,1.0320415,0.0017350966,high,high_medium
6369,0.999998001746618,0.08626867,0.005025487,high,low_high
5522,0.9999123445207184,0.05416546,0.0002876844,high,low_low
4448,0.996082382446968,0.522601,0.002211574,high,low_medium
14471,0.9057187925326848,0.52953583,0.0019328797,high,low_medium
10687,0.936749591938684,0.72607464,0.008603562,high,medium_high
10032,0.9735492371316208,0.7038903,0.00089002366,high,medium_low
1562,0.9455878793824816,0.83704853,0.002355416,high,medium_medium
848,0.9488519056802308,0.81158745,0.003730907,high,medium_medium
