feature_id,identifiability_score,decoder_norm,activation_frequency,identifiability_tertile,covariate_bin
12869,0.2256334639932164,1.0,0.0004342516,low,high_medium
7756,0.329434654302487,0.9999999,0.0022345863,low,low_high
15751,0.3241348316045371,0.99999994,3.6187634e-05,low,low_low
10768,0.3242760879377703,0.99999994,0.00038901705,low,low_medium
7258,0.3143582941183998,1.0,0.0041977656,low,medium_high
13067,0.3708501257474472,1.0,0.0005247207,medium,high_medium
6255,0.3945409033383045,0.99999994,0.0062333196,medium,low_high
14584,0.3718128747997198,0.99999994,0.00017189125,medium,low_low
1751,0.3701223810923967,1.0,0.00047043923,medium,low_medium
8981,0.3832712626187594,1.0,0.007970327,medium,medium_high
14125,0.62152444579994,1.0,0.00081422174,high,high_medium
21,0.6996876587168404,0.99999994,0.0034197313,high,low_high
2687,0.4569529877548562,0.99999994,8.142217e-05,high,low_low
13438,0.4675343174092908,0.9999999,0.00038901705,high,low_medium
6627,0.4782392472136079,1.0,0.0022617271,high,medium_high
